name,ring,quadrant,isNew,description
ORACLE DB,Активно используем,Базы данных и Операционные системы,TRUE,"<p><strong><a href=""https://www.oracle.com/database/"">Oracle </a></strong> это объектно-реляционная система управления базами данных (СУБД) от компании Oracle. Она используется для создания структуры новой базы, ее наполнения, редактирования содержимого и отображения информации.</p>"
SAP HANA,Активно используем,Базы данных и Операционные системы,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/SAP_HANA"">SAP HANA</a></strong> Платформа SAP HANA является платформой обработки данных, работающей в оперативной памяти, что позволяет ускорять бизнес-процессы, предоставлять расширенные услуги бизнес-аналитики и упростить корпоративную ИТ-среду. Формируя основу для удовлетворения всех потребностей в данных, платформа SAP HANA устраняет нагрузку по поддержанию различных существующих систем и хранящихся данных, что позволяет работать в режиме реального времени и принимать более корректные бизнес-решения в современной цифровой экономике</p>"
PostgreSQL,Активно используем,Базы данных и Операционные системы,FALSE,"<p><strong><a href=""https://www.postgresql.org/"">PostgreSQL</a></strong> свободная объектно-реляционная система управления базами данных (СУБД).

Существует в реализациях для множества UNIX-подобных платформ, включая AIX, различные BSD-системы, HP-UX, IRIX, Linux, macOS, Solaris/OpenSolaris, Tru64, QNX, а также для Microsoft Windows</p>"
Microsoft Windows OS,Активно используем,Базы данных и Операционные системы,TRUE,"<p><strong><a href=""https://www.microsoft.com/en-us/windows?r=1"">Windows OS</a></strong> группа семейств коммерческих проприетарных операционных систем корпорации Microsoft, ориентированных на управление с помощью графического интерфейса</p>"
SAP,Активно используем,Платформы и Инфраструктура,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/SAP_HANA"">SAP HANA</a></strong> Платформа SAP HANA является платформой обработки данных, работающей в оперативной памяти, что позволяет ускорять бизнес-процессы, предоставлять расширенные услуги бизнес-аналитики и упростить корпоративную ИТ-среду. Формируя основу для удовлетворения всех потребностей в данных, платформа SAP HANA устраняет нагрузку по поддержанию различных существующих систем и хранящихся данных, что позволяет работать в режиме реального времени и принимать более корректные бизнес-решения в современной цифровой экономике</p>"
Zabbix,Активно используем,Платформы и Инфраструктура,TRUE,"<p><strong><a href=""https://www.zabbix.com/"">Zabbix</a></strong> это универсальный инструмент мониторинга, способный отслеживать динамику работы серверов и сетевого оборудования.</p>"
Open Text,Активно используем,Платформы и Инфраструктура,TRUE,"<p><strong><a href=""https://www.zabbix.com/"">Zabbix</a></strong> это универсальный инструмент мониторинга, способный отслеживать динамику работы серверов и сетевого оборудования.</p>"
Bitrix24,Активно используем,Платформы и Инфраструктура,TRUE,"<p><strong><a href=""https://www.zabbix.com/"">Zabbix</a></strong> это универсальный инструмент мониторинга, способный отслеживать динамику работы серверов и сетевого оборудования.</p>"
Naumen,Используем/Тестируем,Платформы и Инфраструктура,TRUE,"<p><strong><a href=""https://www.zabbix.com/"">Naumen</a></strong> сервис деск</p>"
Windows,Активно используем,Платформы и Инфраструктура,TRUE,"<p><strong><a href=""https://www.zabbix.com/"">Zabbix</a></strong> это универсальный инструмент мониторинга, способный отслеживать динамику работы серверов и сетевого оборудования.</p>"
IDM,Активно используем,Платформы и Инфраструктура,TRUE,"<p><strong><a href=""https://www.zabbix.com/"">Zabbix</a></strong> это универсальный инструмент мониторинга, способный отслеживать динамику работы серверов и сетевого оборудования.</p>"
SuccessFactors,Не используем,Платформы и Инфраструктура,FALSE,"<p><strong><a href=""https://www.zabbix.com/"">Successfactors</a></strong> HR платформа</p>"
Uipath,Не развиваем,Платформы и Инфраструктура,FALSE,<p><strong>Роботы</strong> Технологии больше не развиваются в ЦКР</p>
GitLab,Активно используем,Инструменты,FALSE,"<p><strong><a href=""https://about.gitlab.com/"">GitLab</a></strong> веб-приложение и система управления репозиториями программного кода для Git. Для всех DEVOps является по умолчанию основным инструментом и репозиторием, который  включает в себя систему контроля версий для размещения различных цепочек разработки и веток, позволяя разработчикам проверять код и откатываться к стабильной версии софта в случае непредвиденных проблем.</p>"
